tg_message_id,tg_chat_id,author_tg_user_id,published_at,text,view_count,reaction_count,comment_count
1,1325045928,-1001325045928,2018-09-19T07:00:04+00:00,,,0,0
3,1325045928,-1001325045928,2018-09-26T19:49:07+00:00,привет,329,0,0
4,1325045928,-1001325045928,2018-09-26T19:59:24+00:00,"​​Вы обращали внимание, какого размера у вас тарелки, из которых вы едите каждый день? А из которых едите в гостях? 

Хотите узнать, насколько раздутыми стали порции еды? 
Тогда отправляйтесь в антикварный магазин! Там вы можете обнаружить крошечный кубок, явно предназначенный для куклы. 
Игрушка? Нет, это «бокал для вина». 

Когда малюсенький кубок и буквально обеденное блюдце превратились в большую обеденную тарелку? 
Если верить дизайнерам, которые придумывают посуду, то изменения начались в середине 50-60-ых. 

Тогда диаметр обеденной тарелки был 25 см, сейчас норма – 28 сантиметров. А в США норма 32 см. Вы уже догадываетесь, что произошло с талиями людей за последние 70 лет? Так себе динамика, да🤔? 

Думаете, вы все держите под контролем? 
Не тут-то было, можно надеяться на своё чувство меры, но посуда больших размеров, заставит вас съесть больше еды. Большой ложкой для мороженого вы возьмёте больше мороженого. В короткий широкий стакан нальёте больше сока. 

Иллюзия контрастного размера ловко обхитрит ваш мозг. На большой тарелке кажется, что еды не так уж много и мы съедим как обычно. 

Главная опасность таких «кухонных ловушек» — то, что почти каждый человек в мире считает, что он к ним невосприимчив. 

Что же делать❓ 
Очень просто. Старайтесь дома есть из небольшой тарелки. 
Даже если вы загрузите ее целиком, это будет намного меньше, чем на большой тарелке, а в мозг поступит информация – эй, ты съел гору еды! 

Вот такая хитрость 😊",329,2,0
5,1325045928,-1001325045928,2018-10-03T17:51:25+00:00,,309,0,0
6,1325045928,-1001325045928,2018-10-03T17:51:25+00:00,"МОРОЖЕНОЕ🍨
Удивлены? Все полки магазинов завалены мороженым? Ага, не тут-то было. В СССР мороженое изготавливалось согласно ГОСТУ только из натурального молока. На сегодняшний день ни один завод не может себе позволить такую роскошь, слишком дорого, поэтому мы едим порошковое. Эх… помните Ленинградское?

СГУЩЕНКА🍯
Вообще, появлению этого продукта мы все обязаны американцам, а популяризации – отечественной армии. Изобретатель из США Гейл Борден в 1853 году запатентовал технологию сгущения молока, а советские военные обязательно добавляли сгущенку в рацион солдат из-за калорийности. В результате власти вложили большие деньги в создание заводов по всей стране.
Нынешние производители тщательно копируют упаковку, но упорно отказываются использовать натуральное молоко. А на с использованием вместо него растительных жиров – пальмового масла – вкус получается «специфическим». А вареную помните?

КОНФЕТЫ “ПТИЧЬЕ МОЛОКО”🍬
Появились они в СССР только в 1968 году. Министр пищевой промышленности Василий Зотов попробовал лакомство в Чехии и загорелся идеей наладить его выпуск у нас.
Так как платить за авторский рецепт никто не хотел, провели специальный конкурс, который выиграла кондитер из Владивостока Анна Чулкова. Практически сразу производство освоило большинство фабрик по всему Союзу, и конфеты появились на полках советских магазинов. Появились, чтобы тут же исчезнуть.
Коробка «Птичьего молока» служила своеобразной валютой, как и бутылка водки. Их дарили врачам, учителям и всем остальным нужным людям. Лакомились ими и сами, но по праздникам.

ГАЗИРОВКИ🍹
Отечественные газировки не очень ценились в СССР. Даже настоящим дефицитом они стали только в последние годы, когда пропало буквально все. Очереди выстраивались, когда в магазины завозили лицензионную пепси-колу. После развала Союза импортные бренды моментально вытеснили привычные «Дюшесы», «Байкалы» и «Тархуны».
Осознали потерю намного позже, уже в нулевые. Тогда многие производители начали выпускать современные аналоги советских напитков, но результат от смешения различных ароматизаторов и красителей откровенно разочаровал.",318,2,0
7,1325045928,-1001325045928,2018-10-05T11:51:01+00:00,"​​Вы обращали внимание, какого размера у вас тарелки, из которых вы едите каждый день? А из которых едите в гостях?

Хотите узнать, насколько раздутыми стали порции еды?
Тогда отправляйтесь в антикварный магазин! Там вы можете обнаружить крошечный кубок, явно предназначенный для куклы.
Игрушка? Нет, это «бокал для вина».

Когда малюсенький кубок и буквально обеденное блюдце превратились в большую обеденную тарелку?
Если верить дизайнерам, которые придумывают посуду, то изменения начались в середине 50-60-ых.

Тогда диаметр обеденной тарелки был 25 см, сейчас норма – 28 сантиметров. А в США норма 32 см. Вы уже догадываетесь, что произошло с талиями людей за последние 70 лет? Так себе динамика, да🤔?

Думаете, вы все держите под контролем?
Не тут-то было, можно надеяться на своё чувство меры, но посуда больших размеров, заставит вас съесть больше еды. Большой ложкой для мороженого вы возьмёте больше мороженого. В короткий широкий стакан нальёте больше сока.

Иллюзия контрастного размера ловко обхитрит ваш мозг. На большой тарелке кажется, что еды не так уж много и мы съедим как обычно.

Главная опасность таких «кухонных ловушек» — то, что почти каждый человек в мире считает, что он к ним невосприимчив.

Что же делать❓
Очень просто. Старайтесь дома есть из небольшой тарелки.
Даже если вы загрузите ее целиком, это будет намного меньше, чем на большой тарелке, а в мозг поступит информация – эй, ты съел гору еды!

Вот такая хитрость 😊",303,2,0
8,1325045928,-1001325045928,2018-10-05T11:54:05+00:00,"​​Когда переходишь на “чистое” питание самая большая сложность в выборе разнообразной еды случается утром. Может у вас не так, лично у меня проблема. Поэтому о завтраке я стараюсь думать именно вечером, чтобы не нахвататься утром ненужных вкусняшек. Я их себе не запрещаю, просто говорю: “позавтракай нормальной едой и съешь, что хочешь”. А уже после нормального завтрака “что хочешь” не очень-то и хочется, ну или в микро-размерах☺️.

Сегодня у нас в меню ПП сырники. Получаются очень воздушными☁️

ИНГРЕДИЕНТЫ:

➰творог 1,8-2% - 300 г (в пачке)
➰яйцо куриное - 1 шт.
➰мука рисовая - 3 ст. л. (я предпочитаю льняную муку)
➰мука кокосовая - 1 ст. л.
➰стевия (заменитель сахара) - 1 г (пару капель).
Можно не добавлять, а в уже потом есть с сиропом манго- 0 ккал)

СПОСОБ ПРИГОТОВЛЕНИЯ:
🔻Всё смешать.
🔻Вылепить сырники
🔻Слегка смазать сковородку кокосовым маслом и выпекать по 5 минут с каждой стороны
Вот и всё👍! Полезный и сытный завтрак готов! Приятного аппетита!

Подавать можно с ягодами🍒🍓 и греческим йогуртом без добавок.",322,0,0
9,1325045928,-1001325045928,2018-10-05T11:57:21+00:00,"​​Уххх темаааа….

На самом деле - грех означает незнание себя☝. Как вам такой поворот событий?

Изначально в русском языке слово грех соответствовало значению слова ошибка. А если посмотреть глубже в происхождение слова, то, в переводе с греческого (αμαρτια), буквально означает промах или непопадание в цель.

〰️Получается, грех – это несоответствие человека цели своего существования, эдакий не целостный человек, который находится в противоестественном осуществлении своей человеческой природы. Не самодостаточный, разделённый со своим внутренним миром, со своими близкими.

А что в случае с чревоугодием выходит?

〰️С чревоугодием выходит разделение тела и мыслей, то есть мы просто перестаем слышать свое тело, получаем лишь сигнал удовольствия, но не понимаем реальных потребностей организма.

Изучение систем питания, реакции тела на продукты – это путь к себе, позволяющие понять и принять дуальность своей природы, проработать несовершенства, прийти в согласие со своей совестью, со своей жизнью и с окружающим людьми.",316,1,0
10,1325045928,-1001325045928,2018-10-05T19:11:20+00:00,"​​Кто любит макарошки? Мммм.....
Я очень люблю, но вот диетологи не советуют. Что делать😕? Сейчас я вам расскажу шикарный рецепт.

Итак,
Ингредиенты:

🔸паста из киноа - 1 шт. (1 пачка, без глютена)
🔸кокосовое молоко маложирное - 200 мл.
🔸лосось - 200 г
🔸соль - 1 г (берите розовую или гималайскую)
🔸кунжут черный - 1/2 ч.л.
🔸кресс-салат - 15 г (3-4 листочка)

Способ приготовления:

Отвариваем пасту в слегка подсоленной воде
Обжариваем лосось без масла на антипригарной сковороде
Добавляем соль, специи, молоко, а после - тушим до готовности
Готовый лосось добавляем в пасту и перемешиваем
Посыпаем чёрным кунжутом
Подаём с зеленью и салатом🍝.

Вот и всё! Приятного аппетита!",807,0,0
11,1325045928,-1001325045928,2018-10-05T19:26:07+00:00,"​​Кажется, что уже все и так все знают🤔. Но это иллюзия большого объема информации, выброшенной в интернет. Как ее фильтровать? Как понять, что вам подходит?
Итак, базовые первые шаги, если вы только решили начать или окончательно запутались в тоннах противоречивой информации:

Совет 1️⃣. Маленькие шаги.
Что это означает? Не надо бросаться сразу во все тяжкие: диета, спорт каждый день, сон по 9 часов, подсчет калорий, взвешивание каждого блюда...я могу еще долго перечислять все эти “правильные” действия. Если вам стрельнуло делать сразу все одновременно - это больше похоже на наказание. А что будет после наказания? Правильно – жесткий откат. Поэтому попробуйте начать с одной первой привычки, например, всегда выпивать стакан воды после пробуждения.

Совет 2️⃣. Никакой спешки.
Как быстро появился лишний вес? Как давно пошатнулось здоровье или что-то начало волновать? Явно не за день, неделю или месяц.
Главное понимать, что изменения – это не быстрый процесс, но он надежный. Первое время всего тяжелее: тебе придется менять свои пищевые привычки и выходить из зоны комфорта. Результат не будет сразу виден, и все нутро начнет сопротивляться. В некоторые моменты (вечернее чаепитие🍬) непонимание, зачем все это нужно. Постарайся принять эти мысли сразу, настроить себя и пережить начальный период.

Совет 3️⃣. Физкультура, а не бешеный спорт.
Больше чем уверена – вам не нужны большие физические нагрузки, тренажерка каждый день или еще что вам там в голову шальное придет. Попробуйте увеличить количество шагов, просто шагов. Минимум 5 тыс в день, доводите до 10 тыс, а потом довести до 15 тыс.

Совет 4️⃣. Голова должна быть в теле.
Какие часто витают мысли? Вот я – душевная, глубокая, умная, а вот мое тело – подводит меня, болит, не тех объемов и т.д. Как только чувствуете, что голова “живет” отдельно от тела – это звоночек, что нужно разбираться с психологией. Тело – это наш единственный (на всю жизнь) инструмент физического контакта с окружающим миром, оно всегда дает правильные сигналы, которые хорошо бы научиться слышать и интерпретировать.

❗Поэтому делаем практику “вернуть себя в тело”❗
✔️Просто садитесь, закрываете глаза и перемещаете фокус внимания со стоп, по икрам, по бедрам, ягодицам, вокруг талии, и спиралью вверх до самой макушки. Попробуйте чувствовать физическую оболочку каждый день.

Этого уже достаточно, чтобы сдвинуться с мертвой точки. Готовы начать? Пишите плюсы и ваш первый шаг на ближайшую неделю",334,0,0
