entity_type,owner_tg_chat_id,owner_tg_message_id,reaction,reaction_count
post,1325045928,4,👍,2
post,1325045928,6,👍,2
post,1325045928,7,👍,2
post,1325045928,9,👍,1
post,1325045928,12,👍,1
post,1325045928,14,👍,1
post,1325045928,15,👍,1
post,1325045928,16,👍,1
post,1325045928,22,👍,1
post,1325045928,23,👍,1
post,1325045928,37,❤,1
post,1325045928,39,👍,1
post,1325045928,43,👍,1
post,1325045928,93,👍,2
post,1325045928,108,👍,1
post,1325045928,111,👍,1
post,1325045928,119,👍,1
post,1325045928,133,👍,1
post,1325045928,143,🔥,1
post,1325045928,152,👍,1
post,1325045928,176,👍,2
post,1325045928,189,👍,1
post,1325045928,195,👍,1
post,1325045928,198,👍,1
post,1325045928,205,👍,1
post,1325045928,207,❤,1
post,1325045928,226,👍,1
post,1325045928,227,👍,1
post,1325045928,246,👍,1
post,1468185044,9,❤,1
post,1468185044,20,👍,2
post,1468185044,56,👍,1
post,1468185044,58,👍,1
post,1468185044,63,👍,1
post,1468185044,69,👍,1
post,1468185044,86,👍,1
post,1468185044,87,👍,1
post,1468185044,103,👍,1
post,1468185044,108,👍,1
post,1468185044,115,👍,1
post,1468185044,157,👍,1
post,1803562165,19,👍,53
post,1803562165,19,🔥,14
post,1803562165,19,🥰,3
post,1803562165,21,👍,126
post,1803562165,21,🔥,16
post,1803562165,21,❤,15
post,1803562165,21,🤔,4
post,1803562165,21,😱,2
post,1803562165,21,🥰,1
post,1803562165,22,❤,138
post,1803562165,22,🥰,18
post,1803562165,22,🎉,14
post,1803562165,22,👍,10
post,1803562165,25,👍,147
post,1803562165,25,❤,58
post,1803562165,25,🔥,12
post,1803562165,25,🍓,10
post,1803562165,25,🙏,3
post,1803562165,25,👎,1
post,1803562165,62,❤,89
post,1803562165,62,👍,34
post,1803562165,62,🔥,14
post,1803562165,62,🙏,8
post,1803562165,62,🤔,4
post,1803562165,62,🥰,1
post,1803562165,80,❤,71
post,1803562165,80,👍,45
post,1803562165,80,🥰,4
post,1803562165,80,❤‍🔥,1
post,1803562165,81,👍,116
post,1803562165,81,🔥,21
post,1803562165,81,❤,16
post,1803562165,81,❤‍🔥,3
post,1803562165,92,🔥,48
post,1803562165,92,👍,34
post,1803562165,92,❤,15
post,1803562165,92,👏,3
post,1803562165,92,🤔,2
post,1803562165,127,👍,99
post,1803562165,127,🔥,22
post,1803562165,127,❤,17
post,1803562165,148,🔥,51
post,1803562165,148,❤,15
post,1803562165,148,👍,8
post,1803562165,148,😁,2
post,1803562165,176,❤,25
post,1803562165,176,👍,12
post,1803562165,182,👍,64
post,1803562165,182,❤,10
post,1803562165,182,🕊,1
post,1803562165,195,🥰,19
post,1803562165,195,👍,3
post,1803562165,195,🔥,3
post,1803562165,195,👎,1
post,1803562165,223,❤,13
post,1803562165,223,🤔,13
post,1803562165,223,👍,5
post,1803562165,224,👍,150
post,1803562165,224,❤,34
post,1803562165,224,🔥,8
post,1803562165,224,🤔,2
post,1803562165,229,🔥,248
post,1803562165,229,❤,161
post,1803562165,229,👍,12
post,1803562165,232,❤,21
post,1803562165,232,👏,11
post,1803562165,232,👍,5
post,1803562165,235,👍,30
post,1803562165,235,❤,7
post,1803562165,235,🔥,4
post,1803562165,238,👍,21
post,1803562165,238,🥰,1
post,1803562165,256,👍,27
post,1803562165,262,❤,131
post,1803562165,262,👍,72
post,1803562165,262,🔥,17
post,1803562165,262,👌,4
post,1803562165,262,🤔,2
post,1803562165,262,🙏,2
post,1803562165,374,👍,79
post,1803562165,374,❤,74
post,1803562165,374,🔥,56
post,1803562165,374,👎,1
post,1803562165,376,👍,68
post,1803562165,376,❤,20
post,1803562165,376,🔥,19
post,1803562165,376,🐳,15
post,1803562165,376,🤓,14
post,1803562165,376,🎉,13
post,1803562165,376,👏,10
post,1803562165,376,😍,9
post,1803562165,377,❤,554
post,1803562165,377,🔥,83
post,1803562165,377,👍,22
post,1803562165,377,🍓,7
post,1803562165,377,🐳,3
post,1803562165,377,🤔,2
post,1803562165,377,🍾,1
post,1803562165,378,👍,648
post,1803562165,378,❤,16
post,1803562165,378,🔥,16
post,1803562165,378,🤔,4
post,1803562165,378,😁,2
post,1803562165,379,🔥,460
post,1803562165,379,👍,45
post,1803562165,379,❤,34
post,1803562165,379,🤔,6
post,1803562165,380,❤,600
post,1803562165,380,👍,20
post,1803562165,380,🔥,10
post,1803562165,380,🤔,4
post,1803562165,381,❤,525
post,1803562165,381,🔥,51
post,1803562165,381,👍,24
post,1803562165,382,❤,74
post,1803562165,382,👍,31
post,1803562165,382,🎉,11
post,1803562165,382,🤩,5
post,1803562165,382,🙏,5
post,1803562165,382,🍓,2
post,1803562165,382,👏,1
post,1803562165,384,❤,100
post,1803562165,384,👍,39
post,1803562165,384,💯,11
post,1803562165,384,🏆,5
post,1803562165,384,🎉,3
post,1803562165,384,🐳,3
post,1803562165,431,🐳,61
post,1803562165,431,👍,18
post,1803562165,431,❤,11
post,1803562165,431,🍓,9
post,1803562165,431,👏,5
post,1803562165,431,🥰,4
post,1803562165,431,👌,4
post,1803562165,431,😁,3
post,1803562165,432,👍,185
post,1803562165,432,🍌,32
post,1803562165,432,💯,14
post,1803562165,432,🔥,7
post,1803562165,432,❤,4
post,1803562165,432,🐳,2
post,1803562165,433,🔥,177
post,1803562165,433,🍓,34
post,1803562165,433,👍,21
post,1803562165,433,❤,5
